"concat","member_casual","rideable_type","day_of_week","ride_length","count"
"2021-3","casual","classic_bike","Friday",107717.63333333333333333333,4145
"2021-3","casual","classic_bike","Monday",215779.16666666666666666667,6368
"2021-3","casual","classic_bike","Saturday",400879.85000000000000000000,12181
"2021-3","casual","classic_bike","Sunday",352493.06666666666666666667,9743
"2021-3","casual","classic_bike","Thursday",74306.28333333333333333333,2977
"2021-3","casual","classic_bike","Tuesday",166781.41666666666666666667,5575
"2021-3","casual","classic_bike","Wednesday",117968.66666666666666666667,4539
"2021-3","casual","docked_bike","Friday",75313.80000000000000000000,1090
"2021-3","casual","docked_bike","Monday",236143.86666666666666666667,2369
"2021-3","casual","docked_bike","Saturday",409981.21666666666666666667,4633
"2021-3","casual","docked_bike","Sunday",264301.83333333333333333333,3693
"2021-3","casual","docked_bike","Thursday",63387.03333333333333333333,733
"2021-3","casual","docked_bike","Tuesday",148084.20000000000000000000,1836
"2021-3","casual","docked_bike","Wednesday",81102.05000000000000000000,1303
"2021-3","casual","electric_bike","Friday",44027.26666666666666666667,2542
"2021-3","casual","electric_bike","Monday",77290.83333333333333333333,3253
"2021-3","casual","electric_bike","Saturday",123532.46666666666666666667,5276
"2021-3","casual","electric_bike","Sunday",100562.10000000000000000000,3906
"2021-3","casual","electric_bike","Thursday",28794.65000000000000000000,1778
"2021-3","casual","electric_bike","Tuesday",61936.61666666666666666667,3052
"2021-3","casual","electric_bike","Wednesday",56208.70000000000000000000,3041
"2021-3","member","classic_bike","Friday",169998.83333333333333333333,13117
"2021-3","member","classic_bike","Monday",246354.98333333333333333333,17166
"2021-3","member","classic_bike","Saturday",279258.98333333333333333333,17324
"2021-3","member","classic_bike","Sunday",228831.05000000000000000000,13904
"2021-3","member","classic_bike","Thursday",143385.08333333333333333333,11697
"2021-3","member","classic_bike","Tuesday",236919.41666666666666666667,17292
"2021-3","member","classic_bike","Wednesday",215237.55000000000000000000,16517
"2021-3","member","electric_bike","Friday",57978.01666666666666666667,4763
"2021-3","member","electric_bike","Monday",76264.48333333333333333333,5669
"2021-3","member","electric_bike","Saturday",88419.01666666666666666667,5838
"2021-3","member","electric_bike","Sunday",66520.08333333333333333333,4381
"2021-3","member","electric_bike","Thursday",49392.45000000000000000000,4281
"2021-3","member","electric_bike","Tuesday",80373.65000000000000000000,6245
"2021-3","member","electric_bike","Wednesday",79208.08333333333333333333,6269
