"concat","member_casual","rideable_type","day_of_week","ride_length","count"
"2020-11","casual","docked_bike","Friday",277546.06666666666666666667,6832
"2020-11","casual","docked_bike","Monday",196684.20000000000000000000,5405
"2020-11","casual","docked_bike","Saturday",536063.75000000000000000000,12145
"2020-11","casual","docked_bike","Sunday",454413.55000000000000000000,8941
"2020-11","casual","docked_bike","Thursday",195535.53333333333333333333,4916
"2020-11","casual","docked_bike","Tuesday",148758.73333333333333333333,3822
"2020-11","casual","docked_bike","Wednesday",129286.10000000000000000000,3952
"2020-11","casual","electric_bike","Friday",127749.48333333333333333333,6573
"2020-11","casual","electric_bike","Monday",101946.83333333333333333333,5477
"2020-11","casual","electric_bike","Saturday",215340.28333333333333333333,8812
"2020-11","casual","electric_bike","Sunday",158204.70000000000000000000,6878
"2020-11","casual","electric_bike","Thursday",99795.68333333333333333333,5422
"2020-11","casual","electric_bike","Tuesday",77448.70000000000000000000,4459
"2020-11","casual","electric_bike","Wednesday",79343.93333333333333333333,4465
"2020-11","member","docked_bike","Friday",229397.33333333333333333333,15941
"2020-11","member","docked_bike","Monday",235651.91666666666666666667,18082
"2020-11","member","docked_bike","Saturday",252149.63333333333333333333,15579
"2020-11","member","docked_bike","Sunday",215510.30000000000000000000,13753
"2020-11","member","docked_bike","Thursday",197877.65000000000000000000,14552
"2020-11","member","docked_bike","Tuesday",186351.90000000000000000000,13652
"2020-11","member","docked_bike","Wednesday",188786.86666666666666666667,14010
"2020-11","member","electric_bike","Friday",126415.33333333333333333333,10066
"2020-11","member","electric_bike","Monday",123676.66666666666666666667,10727
"2020-11","member","electric_bike","Saturday",136587.98333333333333333333,9598
"2020-11","member","electric_bike","Sunday",115183.53333333333333333333,8758
"2020-11","member","electric_bike","Thursday",111764.58333333333333333333,9462
"2020-11","member","electric_bike","Tuesday",98945.63333333333333333333,8525
"2020-11","member","electric_bike","Wednesday",105290.00000000000000000000,8912
