"concat","member_casual","rideable_type","day_of_week","ride_length","count"
"2020-12","casual","classic_bike","Friday",32448.00000000000000000000,1365
"2020-12","casual","classic_bike","Monday",32601.00000000000000000000,1377
"2020-12","casual","classic_bike","Saturday",55625.00000000000000000000,2004
"2020-12","casual","classic_bike","Sunday",67746.00000000000000000000,2143
"2020-12","casual","classic_bike","Thursday",40658.00000000000000000000,1567
"2020-12","casual","classic_bike","Tuesday",29237.00000000000000000000,1369
"2020-12","casual","classic_bike","Wednesday",39358.00000000000000000000,1494
"2020-12","casual","docked_bike","Friday",18126.00000000000000000000,416
"2020-12","casual","docked_bike","Monday",22634.00000000000000000000,450
"2020-12","casual","docked_bike","Saturday",47711.00000000000000000000,727
"2020-12","casual","docked_bike","Sunday",82413.00000000000000000000,794
"2020-12","casual","docked_bike","Thursday",37260.00000000000000000000,910
"2020-12","casual","docked_bike","Tuesday",35991.00000000000000000000,750
"2020-12","casual","docked_bike","Wednesday",28460.00000000000000000000,914
"2020-12","casual","electric_bike","Friday",27355.00000000000000000000,1678
"2020-12","casual","electric_bike","Monday",26744.00000000000000000000,1715
"2020-12","casual","electric_bike","Saturday",31327.00000000000000000000,1841
"2020-12","casual","electric_bike","Sunday",39955.00000000000000000000,2171
"2020-12","casual","electric_bike","Thursday",34936.00000000000000000000,2242
"2020-12","casual","electric_bike","Tuesday",41747.00000000000000000000,1936
"2020-12","casual","electric_bike","Wednesday",35205.00000000000000000000,2207
"2020-12","member","classic_bike","Friday",99779.00000000000000000000,7611
"2020-12","member","classic_bike","Monday",115004.00000000000000000000,9246
"2020-12","member","classic_bike","Saturday",100391.00000000000000000000,7492
"2020-12","member","classic_bike","Sunday",114900.00000000000000000000,7769
"2020-12","member","classic_bike","Thursday",120598.00000000000000000000,8931
"2020-12","member","classic_bike","Tuesday",114280.00000000000000000000,9028
"2020-12","member","classic_bike","Wednesday",119129.00000000000000000000,9217
"2020-12","member","docked_bike","Friday",6255.00000000000000000000,472
"2020-12","member","docked_bike","Thursday",28701.00000000000000000000,2205
"2020-12","member","docked_bike","Tuesday",74677.00000000000000000000,2637
"2020-12","member","docked_bike","Wednesday",34982.00000000000000000000,2722
"2020-12","member","electric_bike","Friday",51326.00000000000000000000,4321
"2020-12","member","electric_bike","Monday",54231.00000000000000000000,4655
"2020-12","member","electric_bike","Saturday",48310.00000000000000000000,4002
"2020-12","member","electric_bike","Sunday",53197.00000000000000000000,4024
"2020-12","member","electric_bike","Thursday",68080.00000000000000000000,5626
"2020-12","member","electric_bike","Tuesday",92481.00000000000000000000,5797
"2020-12","member","electric_bike","Wednesday",68506.00000000000000000000,5730
