"concat","member_casual","rideable_type","day_of_week","ride_length","count"
"2021-4","casual","classic_bike","Friday",345870.78333333333333333333,11510
"2021-4","casual","classic_bike","Monday",266605.85000000000000000000,8324
"2021-4","casual","classic_bike","Saturday",492945.10000000000000000000,14837
"2021-4","casual","classic_bike","Sunday",468553.43333333333333333333,13410
"2021-4","casual","classic_bike","Thursday",156302.03333333333333333333,5988
"2021-4","casual","classic_bike","Tuesday",338728.83333333333333333333,10629
"2021-4","casual","classic_bike","Wednesday",176374.06666666666666666667,6078
"2021-4","casual","docked_bike","Friday",450825.43333333333333333333,3676
"2021-4","casual","docked_bike","Monday",217968.28333333333333333333,2811
"2021-4","casual","docked_bike","Saturday",359922.33333333333333333333,5668
"2021-4","casual","docked_bike","Sunday",441195.36666666666666666667,5452
"2021-4","casual","docked_bike","Thursday",68531.73333333333333333333,1532
"2021-4","casual","docked_bike","Tuesday",320698.85000000000000000000,3652
"2021-4","casual","docked_bike","Wednesday",205616.90000000000000000000,1923
"2021-4","casual","electric_bike","Friday",147087.11666666666666666667,7743
"2021-4","casual","electric_bike","Monday",111990.61666666666666666667,4895
"2021-4","casual","electric_bike","Saturday",164004.18333333333333333333,7223
"2021-4","casual","electric_bike","Sunday",155310.88333333333333333333,6334
"2021-4","casual","electric_bike","Thursday",83807.96666666666666666667,4830
"2021-4","casual","electric_bike","Tuesday",146086.75000000000000000000,6096
"2021-4","casual","electric_bike","Wednesday",75551.91666666666666666667,3990
"2021-4","member","classic_bike","Friday",364376.91666666666666666667,25148
"2021-4","member","classic_bike","Monday",294357.48333333333333333333,20294
"2021-4","member","classic_bike","Saturday",323070.95000000000000000000,19247
"2021-4","member","classic_bike","Sunday",318126.56666666666666666667,18715
"2021-4","member","classic_bike","Thursday",256275.50000000000000000000,19195
"2021-4","member","classic_bike","Tuesday",339654.40000000000000000000,23303
"2021-4","member","classic_bike","Wednesday",245111.18333333333333333333,17941
"2021-4","member","electric_bike","Friday",146411.26666666666666666667,10647
"2021-4","member","electric_bike","Monday",106053.71666666666666666667,7437
"2021-4","member","electric_bike","Saturday",117190.61666666666666666667,7410
"2021-4","member","electric_bike","Sunday",103302.46666666666666666667,6442
"2021-4","member","electric_bike","Thursday",115978.65000000000000000000,8891
"2021-4","member","electric_bike","Tuesday",121574.63333333333333333333,8546
"2021-4","member","electric_bike","Wednesday",95526.58333333333333333333,7413
