"concat","member_casual","rideable_type","day_of_week","ride_length","count"
"2020-9","casual","docked_bike","Friday",1000287.51666666666666666667,24111
"2020-9","casual","docked_bike","Monday",923594.98333333333333333333,20804
"2020-9","casual","docked_bike","Saturday",1792864.76666666666666666667,39251
"2020-9","casual","docked_bike","Sunday",1689707.06666666666666666667,34241
"2020-9","casual","docked_bike","Thursday",598499.40000000000000000000,16838
"2020-9","casual","docked_bike","Tuesday",539739.33333333333333333333,15559
"2020-9","casual","docked_bike","Wednesday",877281.95000000000000000000,20970
"2020-9","casual","electric_bike","Friday",193060.86666666666666666667,8870
"2020-9","casual","electric_bike","Monday",159756.20000000000000000000,6758
"2020-9","casual","electric_bike","Saturday",273653.25000000000000000000,10361
"2020-9","casual","electric_bike","Sunday",270434.56666666666666666667,9964
"2020-9","casual","electric_bike","Thursday",150575.81666666666666666667,7075
"2020-9","casual","electric_bike","Tuesday",142178.53333333333333333333,7041
"2020-9","casual","electric_bike","Wednesday",181740.56666666666666666667,8849
"2020-9","member","docked_bike","Friday",514775.06666666666666666667,33579
"2020-9","member","docked_bike","Monday",462726.46666666666666666667,29931
"2020-9","member","docked_bike","Saturday",531696.28333333333333333333,30509
"2020-9","member","docked_bike","Sunday",586771.96666666666666666667,29907
"2020-9","member","docked_bike","Thursday",465690.46666666666666666667,31996
"2020-9","member","docked_bike","Tuesday",499545.38333333333333333333,34940
"2020-9","member","docked_bike","Wednesday",606069.51666666666666666667,41970
"2020-9","member","electric_bike","Friday",150329.70000000000000000000,10283
"2020-9","member","electric_bike","Monday",119603.18333333333333333333,8309
"2020-9","member","electric_bike","Saturday",148481.85000000000000000000,9268
"2020-9","member","electric_bike","Sunday",146148.25000000000000000000,9073
"2020-9","member","electric_bike","Thursday",135716.01666666666666666667,9771
"2020-9","member","electric_bike","Tuesday",137184.03333333333333333333,10473
"2020-9","member","electric_bike","Wednesday",169470.20000000000000000000,12257
