"concat","member_casual","rideable_type","day_of_week","ride_length","count"
"2020-10","casual","docked_bike","Friday",530131.30000000000000000000,12774
"2020-10","casual","docked_bike","Monday",168099.16666666666666666667,5071
"2020-10","casual","docked_bike","Saturday",960040.03333333333333333333,23116
"2020-10","casual","docked_bike","Sunday",531598.96666666666666666667,13010
"2020-10","casual","docked_bike","Thursday",298660.01666666666666666667,9599
"2020-10","casual","docked_bike","Tuesday",290634.23333333333333333333,7384
"2020-10","casual","docked_bike","Wednesday",304957.76666666666666666667,8929
"2020-10","casual","electric_bike","Friday",217675.33333333333333333333,11169
"2020-10","casual","electric_bike","Monday",86411.98333333333333333333,5163
"2020-10","casual","electric_bike","Saturday",360155.15000000000000000000,15624
"2020-10","casual","electric_bike","Sunday",188023.21666666666666666667,8483
"2020-10","casual","electric_bike","Thursday",174702.86666666666666666667,10078
"2020-10","casual","electric_bike","Tuesday",125683.83333333333333333333,6937
"2020-10","casual","electric_bike","Wednesday",136895.40000000000000000000,7675
"2020-10","member","docked_bike","Friday",419801.76666666666666666667,25334
"2020-10","member","docked_bike","Monday",221741.68333333333333333333,16713
"2020-10","member","docked_bike","Saturday",409796.51666666666666666667,26071
"2020-10","member","docked_bike","Sunday",250115.13333333333333333333,16238
"2020-10","member","docked_bike","Thursday",365583.18333333333333333333,26649
"2020-10","member","docked_bike","Tuesday",309409.15000000000000000000,21600
"2020-10","member","docked_bike","Wednesday",344643.68333333333333333333,23989
"2020-10","member","electric_bike","Friday",189920.11666666666666666667,15153
"2020-10","member","electric_bike","Monday",106953.88333333333333333333,9429
"2020-10","member","electric_bike","Saturday",204974.10000000000000000000,14910
"2020-10","member","electric_bike","Sunday",115112.18333333333333333333,8706
"2020-10","member","electric_bike","Thursday",185064.95000000000000000000,15368
"2020-10","member","electric_bike","Tuesday",134185.41666666666666666667,11282
"2020-10","member","electric_bike","Wednesday",151255.93333333333333333333,12199
