"concat","member_casual","rideable_type","day_of_week","ride_length","count"
"2020-8","casual","docked_bike","Friday",1506592.2333333334,34884
"2020-8","casual","docked_bike","Monday",1157312.4666666666,25119
"2020-8","casual","docked_bike","Saturday",3331912.05,68498
"2020-8","casual","docked_bike","Sunday",2763752.7,53637
"2020-8","casual","docked_bike","Thursday",1257335.8,27422
"2020-8","casual","docked_bike","Tuesday",1084009.4166666667,25302
"2020-8","casual","docked_bike","Wednesday",1099108.7333333334,26339
"2020-8","casual","electric_bike","Friday",111504.43333333333,4375
"2020-8","casual","electric_bike","Monday",99528.9,3973
"2020-8","casual","electric_bike","Saturday",150132.51666666666,5127
"2020-8","casual","electric_bike","Sunday",159888.8,5082
"2020-8","casual","electric_bike","Thursday",91052.55,3678
"2020-8","casual","electric_bike","Tuesday",77459.01666666666,3056
"2020-8","casual","electric_bike","Wednesday",79638.93333333333,3169
"2020-8","member","docked_bike","Friday",643569.9833333333,40352
"2020-8","member","docked_bike","Monday",655433.2833333333,39176
"2020-8","member","docked_bike","Saturday",942274.2333333333,52817
"2020-8","member","docked_bike","Sunday",810450.2,43976
"2020-8","member","docked_bike","Thursday",606084.65,38994
"2020-8","member","docked_bike","Tuesday",622376.3333333334,39530
"2020-8","member","docked_bike","Wednesday",662338.9833333333,40120
"2020-8","member","electric_bike","Friday",95189.31666666667,5789
"2020-8","member","electric_bike","Monday",84014.78333333334,5416
"2020-8","member","electric_bike","Saturday",113678.2,6171
"2020-8","member","electric_bike","Sunday",108599.38333333333,5726
"2020-8","member","electric_bike","Thursday",82415.46666666666,5434
"2020-8","member","electric_bike","Tuesday",68238.76666666666,4490
"2020-8","member","electric_bike","Wednesday",76820.81666666667,4709
