"concat","member_casual","rideable_type","day_of_week","ride_length","count"
"2021-2","casual","classic_bike","Friday",36362.60000000000000000000,796
"2021-2","casual","classic_bike","Monday",14776.73333333333333333333,312
"2021-2","casual","classic_bike","Saturday",81169.00000000000000000000,2017
"2021-2","casual","classic_bike","Sunday",37332.31666666666666666667,786
"2021-2","casual","classic_bike","Thursday",12836.28333333333333333333,562
"2021-2","casual","classic_bike","Tuesday",31590.21666666666666666667,599
"2021-2","casual","classic_bike","Wednesday",24098.13333333333333333333,623
"2021-2","casual","docked_bike","Friday",50407.96666666666666666667,177
"2021-2","casual","docked_bike","Monday",3064.41666666666666666667,32
"2021-2","casual","docked_bike","Saturday",112668.78333333333333333333,607
"2021-2","casual","docked_bike","Sunday",15724.60000000000000000000,202
"2021-2","casual","docked_bike","Thursday",3320.23333333333333333333,75
"2021-2","casual","docked_bike","Tuesday",12920.81666666666666666667,85
"2021-2","casual","docked_bike","Wednesday",8233.91666666666666666667,93
"2021-2","casual","electric_bike","Friday",7735.23333333333333333333,523
"2021-2","casual","electric_bike","Monday",3776.43333333333333333333,241
"2021-2","casual","electric_bike","Saturday",19521.98333333333333333333,861
"2021-2","casual","electric_bike","Sunday",7890.55000000000000000000,405
"2021-2","casual","electric_bike","Thursday",5709.50000000000000000000,405
"2021-2","casual","electric_bike","Tuesday",5170.40000000000000000000,323
"2021-2","casual","electric_bike","Wednesday",5890.06666666666666666667,407
"2021-2","member","classic_bike","Friday",89782.66666666666666666667,4776
"2021-2","member","classic_bike","Monday",66051.45000000000000000000,3102
"2021-2","member","classic_bike","Saturday",99444.65000000000000000000,4810
"2021-2","member","classic_bike","Sunday",71420.08333333333333333333,3085
"2021-2","member","classic_bike","Thursday",73085.01666666666666666667,4346
"2021-2","member","classic_bike","Tuesday",80429.00000000000000000000,4311
"2021-2","member","classic_bike","Wednesday",91516.23333333333333333333,4887
"2021-2","member","electric_bike","Friday",23383.78333333333333333333,1818
"2021-2","member","electric_bike","Monday",12858.53333333333333333333,903
"2021-2","member","electric_bike","Saturday",26411.38333333333333333333,1719
"2021-2","member","electric_bike","Sunday",13554.03333333333333333333,906
"2021-2","member","electric_bike","Thursday",20766.18333333333333333333,1685
"2021-2","member","electric_bike","Tuesday",19233.55000000000000000000,1417
"2021-2","member","electric_bike","Wednesday",23773.58333333333333333333,1726
