"concat","member_casual","rideable_type","day_of_week","ride_length","count"
"2021-5","casual","classic_bike","Friday",390406.28333333333333333333,13544
"2021-5","casual","classic_bike","Monday",527467.10000000000000000000,15972
"2021-5","casual","classic_bike","Saturday",1165638.81666666666666666667,33658
"2021-5","casual","classic_bike","Sunday",1141395.75000000000000000000,31512
"2021-5","casual","classic_bike","Thursday",299214.23333333333333333333,10218
"2021-5","casual","classic_bike","Tuesday",223658.21666666666666666667,8236
"2021-5","casual","classic_bike","Wednesday",305704.68333333333333333333,10810
"2021-5","casual","docked_bike","Friday",413722.21666666666666666667,4706
"2021-5","casual","docked_bike","Monday",478053.20000000000000000000,6104
"2021-5","casual","docked_bike","Saturday",935680.16666666666666666667,11957
"2021-5","casual","docked_bike","Sunday",1257015.35000000000000000000,12215
"2021-5","casual","docked_bike","Thursday",258779.33333333333333333333,3054
"2021-5","casual","docked_bike","Tuesday",187987.40000000000000000000,2453
"2021-5","casual","docked_bike","Wednesday",229249.20000000000000000000,2864
"2021-5","casual","electric_bike","Friday",247891.18333333333333333333,12179
"2021-5","casual","electric_bike","Monday",291608.26666666666666666667,12345
"2021-5","casual","electric_bike","Saturday",464595.18333333333333333333,19692
"2021-5","casual","electric_bike","Sunday",483544.13333333333333333333,18430
"2021-5","casual","electric_bike","Thursday",180624.70000000000000000000,9574
"2021-5","casual","electric_bike","Tuesday",153884.61666666666666666667,7904
"2021-5","casual","electric_bike","Wednesday",186026.88333333333333333333,9489
"2021-5","member","classic_bike","Friday",333046.63333333333333333333,23150
"2021-5","member","classic_bike","Monday",424173.93333333333333333333,28422
"2021-5","member","classic_bike","Saturday",534923.96666666666666666667,32111
"2021-5","member","classic_bike","Sunday",513065.81666666666666666667,29423
"2021-5","member","classic_bike","Thursday",323822.98333333333333333333,23498
"2021-5","member","classic_bike","Tuesday",293075.75000000000000000000,22194
"2021-5","member","classic_bike","Wednesday",371150.98333333333333333333,26345
"2021-5","member","electric_bike","Friday",169330.33333333333333333333,12640
"2021-5","member","electric_bike","Monday",177878.36666666666666666667,13158
"2021-5","member","electric_bike","Saturday",221220.33333333333333333333,14584
"2021-5","member","electric_bike","Sunday",198355.46666666666666666667,12682
"2021-5","member","electric_bike","Thursday",155047.93333333333333333333,12198
"2021-5","member","electric_bike","Tuesday",137593.06666666666666666667,11224
"2021-5","member","electric_bike","Wednesday",168872.11666666666666666667,13088
