"concat","member_casual","rideable_type","day_of_week","ride_length","count"
"2021-1","casual","classic_bike","Friday",30025.58333333333333333333,1201
"2021-1","casual","classic_bike","Monday",20575.03333333333333333333,935
"2021-1","casual","classic_bike","Saturday",50764.56666666666666666667,1957
"2021-1","casual","classic_bike","Sunday",36830.41666666666666666667,1355
"2021-1","casual","classic_bike","Thursday",27720.75000000000000000000,1054
"2021-1","casual","classic_bike","Tuesday",17482.81666666666666666667,827
"2021-1","casual","classic_bike","Wednesday",21721.05000000000000000000,930
"2021-1","casual","docked_bike","Friday",17611.41666666666666666667,318
"2021-1","casual","docked_bike","Monday",8395.96666666666666666667,201
"2021-1","casual","docked_bike","Saturday",51353.45000000000000000000,569
"2021-1","casual","docked_bike","Sunday",29066.76666666666666666667,352
"2021-1","casual","docked_bike","Thursday",7944.40000000000000000000,236
"2021-1","casual","docked_bike","Tuesday",12753.38333333333333333333,197
"2021-1","casual","docked_bike","Wednesday",19831.78333333333333333333,232
"2021-1","casual","electric_bike","Friday",17495.93333333333333333333,1319
"2021-1","casual","electric_bike","Monday",13827.53333333333333333333,952
"2021-1","casual","electric_bike","Saturday",24976.88333333333333333333,1477
"2021-1","casual","electric_bike","Sunday",17777.53333333333333333333,1157
"2021-1","casual","electric_bike","Thursday",15176.38333333333333333333,1058
"2021-1","casual","electric_bike","Tuesday",11823.38333333333333333333,858
"2021-1","casual","electric_bike","Wednesday",12172.68333333333333333333,932
"2021-1","member","classic_bike","Friday",104947.20000000000000000000,8407
"2021-1","member","classic_bike","Monday",110185.65000000000000000000,7630
"2021-1","member","classic_bike","Saturday",115867.38333333333333333333,8232
"2021-1","member","classic_bike","Sunday",82845.66666666666666666667,5989
"2021-1","member","classic_bike","Thursday",102866.66666666666666666667,8177
"2021-1","member","classic_bike","Tuesday",90885.36666666666666666667,7324
"2021-1","member","classic_bike","Wednesday",108102.68333333333333333333,7682
"2021-1","member","docked_bike","Wednesday",2.63333333333333333333,1
"2021-1","member","electric_bike","Friday",50893.15000000000000000000,4238
"2021-1","member","electric_bike","Monday",37010.71666666666666666667,3505
"2021-1","member","electric_bike","Saturday",51172.71666666666666666667,4088
"2021-1","member","electric_bike","Sunday",35681.01666666666666666667,2883
"2021-1","member","electric_bike","Thursday",43779.23333333333333333333,3791
"2021-1","member","electric_bike","Tuesday",36346.73333333333333333333,3245
"2021-1","member","electric_bike","Wednesday",42661.00000000000000000000,3525
